timestamp,model,experiment_type,params,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,cv_splits,dataset_rows,class_counts
2026-04-28T13:48:11.942931+00:00,LogisticRegression,baseline,"{""C"": 1.0, ""class_weight"": ""balanced"", ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": 0.0, ""max_iter"": 2000, ""n_jobs"": null, ""penalty"": ""deprecated"", ""random_state"": 42, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",0.945,0.029155,0.944975,0.028374,5,200,"{""Adventure"": 34, ""Budget"": 34, ""Culture"": 33, ""Family"": 33, ""Luxury"": 33, ""Relaxation"": 33}"
2026-04-28T13:48:11.942931+00:00,RandomForestClassifier,baseline,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": ""balanced_subsample"", ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 300, ""n_jobs"": null, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",0.96,0.04062,0.96046,0.039206,5,200,"{""Adventure"": 34, ""Budget"": 34, ""Culture"": 33, ""Family"": 33, ""Luxury"": 33, ""Relaxation"": 33}"
2026-04-28T13:48:11.942931+00:00,SVC,baseline,"{""C"": 1.0, ""break_ties"": false, ""cache_size"": 200, ""class_weight"": ""balanced"", ""coef0"": 0.0, ""decision_function_shape"": ""ovr"", ""degree"": 3, ""gamma"": ""scale"", ""kernel"": ""rbf"", ""max_iter"": -1, ""probability"": true, ""random_state"": 42, ""shrinking"": true, ""tol"": 0.001, ""verbose"": false}",0.965,0.037417,0.964577,0.03654,5,200,"{""Adventure"": 34, ""Budget"": 34, ""Culture"": 33, ""Family"": 33, ""Luxury"": 33, ""Relaxation"": 33}"
2026-04-28T13:48:11.942931+00:00,RandomForestTuned,tuned,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",0.96,0.04062,0.96046,0.039206,5,200,"{""Adventure"": 34, ""Budget"": 34, ""Culture"": 33, ""Family"": 33, ""Luxury"": 33, ""Relaxation"": 33}"
2026-04-28T13:48:11.942931+00:00,RandomForestTuned,tuning_candidate,"{""classifier__max_depth"": null, ""classifier__max_features"": ""sqrt"", ""classifier__min_samples_leaf"": 1, ""classifier__n_estimators"": 200}",0.95,0.031623,0.950079,0.029628,5,200,"{""Adventure"": 34, ""Budget"": 34, ""Culture"": 33, ""Family"": 33, ""Luxury"": 33, ""Relaxation"": 33}"
2026-04-28T13:48:11.942931+00:00,RandomForestTuned,tuning_candidate,"{""classifier__max_depth"": null, ""classifier__max_features"": ""sqrt"", ""classifier__min_samples_leaf"": 1, ""classifier__n_estimators"": 300}",0.96,0.04062,0.96046,0.039206,5,200,"{""Adventure"": 34, ""Budget"": 34, ""Culture"": 33, ""Family"": 33, ""Luxury"": 33, ""Relaxation"": 33}"
2026-04-28T13:48:11.942931+00:00,RandomForestTuned,tuning_candidate,"{""classifier__max_depth"": null, ""classifier__max_features"": ""sqrt"", ""classifier__min_samples_leaf"": 1, ""classifier__n_estimators"": 500}",0.95,0.057009,0.949819,0.056764,5,200,"{""Adventure"": 34, ""Budget"": 34, ""Culture"": 33, ""Family"": 33, ""Luxury"": 33, ""Relaxation"": 33}"
2026-04-28T13:48:11.942931+00:00,RandomForestTuned,tuning_candidate,"{""classifier__max_depth"": null, ""classifier__max_features"": ""sqrt"", ""classifier__min_samples_leaf"": 2, ""classifier__n_estimators"": 200}",0.935,0.05831,0.934556,0.057913,5,200,"{""Adventure"": 34, ""Budget"": 34, ""Culture"": 33, ""Family"": 33, ""Luxury"": 33, ""Relaxation"": 33}"
2026-04-28T13:48:11.942931+00:00,RandomForestTuned,tuning_candidate,"{""classifier__max_depth"": null, ""classifier__max_features"": ""sqrt"", ""classifier__min_samples_leaf"": 2, ""classifier__n_estimators"": 300}",0.935,0.060415,0.934471,0.060121,5,200,"{""Adventure"": 34, ""Budget"": 34, ""Culture"": 33, ""Family"": 33, ""Luxury"": 33, ""Relaxation"": 33}"
2026-04-28T13:48:11.942931+00:00,RandomForestTuned,tuning_candidate,"{""classifier__max_depth"": null, ""classifier__max_features"": ""sqrt"", ""classifier__min_samples_leaf"": 2, ""classifier__n_estimators"": 500}",0.935,0.056125,0.934278,0.055936,5,200,"{""Adventure"": 34, ""Budget"": 34, ""Culture"": 33, ""Family"": 33, ""Luxury"": 33, ""Relaxation"": 33}"
2026-04-28T13:48:11.942931+00:00,RandomForestTuned,tuning_candidate,"{""classifier__max_depth"": null, ""classifier__max_features"": ""sqrt"", ""classifier__min_samples_leaf"": 4, ""classifier__n_estimators"": 200}",0.925,0.05244,0.924547,0.052255,5,200,"{""Adventure"": 34, ""Budget"": 34, ""Culture"": 33, ""Family"": 33, ""Luxury"": 33, ""Relaxation"": 33}"
2026-04-28T13:48:11.942931+00:00,RandomForestTuned,tuning_candidate,"{""classifier__max_depth"": null, ""classifier__max_features"": ""sqrt"", ""classifier__min_samples_leaf"": 4, ""classifier__n_estimators"": 300}",0.925,0.05244,0.924547,0.052255,5,200,"{""Adventure"": 34, ""Budget"": 34, ""Culture"": 33, ""Family"": 33, ""Luxury"": 33, ""Relaxation"": 33}"
2026-04-28T13:48:11.942931+00:00,RandomForestTuned,tuning_candidate,"{""classifier__max_depth"": null, ""classifier__max_features"": ""sqrt"", ""classifier__min_samples_leaf"": 4, ""classifier__n_estimators"": 500}",0.92,0.05099,0.918685,0.050838,5,200,"{""Adventure"": 34, ""Budget"": 34, ""Culture"": 33, ""Family"": 33, ""Luxury"": 33, ""Relaxation"": 33}"
2026-04-28T13:48:11.942931+00:00,RandomForestTuned,tuning_candidate,"{""classifier__max_depth"": null, ""classifier__max_features"": 0.8, ""classifier__min_samples_leaf"": 1, ""classifier__n_estimators"": 200}",0.945,0.078102,0.943217,0.079671,5,200,"{""Adventure"": 34, ""Budget"": 34, ""Culture"": 33, ""Family"": 33, ""Luxury"": 33, ""Relaxation"": 33}"
2026-04-28T13:48:11.942931+00:00,RandomForestTuned,tuning_candidate,"{""classifier__max_depth"": null, ""classifier__max_features"": 0.8, ""classifier__min_samples_leaf"": 1, ""classifier__n_estimators"": 300}",0.945,0.078102,0.944298,0.079378,5,200,"{""Adventure"": 34, ""Budget"": 34, ""Culture"": 33, ""Family"": 33, ""Luxury"": 33, ""Relaxation"": 33}"
2026-04-28T13:48:11.942931+00:00,RandomForestTuned,tuning_candidate,"{""classifier__max_depth"": null, ""classifier__max_features"": 0.8, ""classifier__min_samples_leaf"": 1, ""classifier__n_estimators"": 500}",0.945,0.078102,0.944298,0.079378,5,200,"{""Adventure"": 34, ""Budget"": 34, ""Culture"": 33, ""Family"": 33, ""Luxury"": 33, ""Relaxation"": 33}"
2026-04-28T13:48:11.942931+00:00,RandomForestTuned,tuning_candidate,"{""classifier__max_depth"": null, ""classifier__max_features"": 0.8, ""classifier__min_samples_leaf"": 2, ""classifier__n_estimators"": 200}",0.935,0.076811,0.931966,0.079043,5,200,"{""Adventure"": 34, ""Budget"": 34, ""Culture"": 33, ""Family"": 33, ""Luxury"": 33, ""Relaxation"": 33}"
2026-04-28T13:48:11.942931+00:00,RandomForestTuned,tuning_candidate,"{""classifier__max_depth"": null, ""classifier__max_features"": 0.8, ""classifier__min_samples_leaf"": 2, ""classifier__n_estimators"": 300}",0.93,0.079687,0.927608,0.081849,5,200,"{""Adventure"": 34, ""Budget"": 34, ""Culture"": 33, ""Family"": 33, ""Luxury"": 33, ""Relaxation"": 33}"
2026-04-28T13:48:11.942931+00:00,RandomForestTuned,tuning_candidate,"{""classifier__max_depth"": null, ""classifier__max_features"": 0.8, ""classifier__min_samples_leaf"": 2, ""classifier__n_estimators"": 500}",0.935,0.076811,0.933553,0.078238,5,200,"{""Adventure"": 34, ""Budget"": 34, ""Culture"": 33, ""Family"": 33, ""Luxury"": 33, ""Relaxation"": 33}"
2026-04-28T13:48:11.942931+00:00,RandomForestTuned,tuning_candidate,"{""classifier__max_depth"": null, ""classifier__max_features"": 0.8, ""classifier__min_samples_leaf"": 4, ""classifier__n_estimators"": 200}",0.9,0.074162,0.892508,0.081954,5,200,"{""Adventure"": 34, ""Budget"": 34, ""Culture"": 33, ""Family"": 33, ""Luxury"": 33, ""Relaxation"": 33}"
2026-04-28T13:48:11.942931+00:00,RandomForestTuned,tuning_candidate,"{""classifier__max_depth"": null, ""classifier__max_features"": 0.8, ""classifier__min_samples_leaf"": 4, ""classifier__n_estimators"": 300}",0.905,0.067823,0.897697,0.076468,5,200,"{""Adventure"": 34, ""Budget"": 34, ""Culture"": 33, ""Family"": 33, ""Luxury"": 33, ""Relaxation"": 33}"
2026-04-28T13:48:11.942931+00:00,RandomForestTuned,tuning_candidate,"{""classifier__max_depth"": null, ""classifier__max_features"": 0.8, ""classifier__min_samples_leaf"": 4, ""classifier__n_estimators"": 500}",0.91,0.06245,0.905567,0.066615,5,200,"{""Adventure"": 34, ""Budget"": 34, ""Culture"": 33, ""Family"": 33, ""Luxury"": 33, ""Relaxation"": 33}"
2026-04-28T13:48:11.942931+00:00,RandomForestTuned,tuning_candidate,"{""classifier__max_depth"": 6, ""classifier__max_features"": ""sqrt"", ""classifier__min_samples_leaf"": 1, ""classifier__n_estimators"": 200}",0.935,0.046368,0.936101,0.044098,5,200,"{""Adventure"": 34, ""Budget"": 34, ""Culture"": 33, ""Family"": 33, ""Luxury"": 33, ""Relaxation"": 33}"
2026-04-28T13:48:11.942931+00:00,RandomForestTuned,tuning_candidate,"{""classifier__max_depth"": 6, ""classifier__max_features"": ""sqrt"", ""classifier__min_samples_leaf"": 1, ""classifier__n_estimators"": 300}",0.94,0.056125,0.940319,0.055664,5,200,"{""Adventure"": 34, ""Budget"": 34, ""Culture"": 33, ""Family"": 33, ""Luxury"": 33, ""Relaxation"": 33}"
2026-04-28T13:48:11.942931+00:00,RandomForestTuned,tuning_candidate,"{""classifier__max_depth"": 6, ""classifier__max_features"": ""sqrt"", ""classifier__min_samples_leaf"": 1, ""classifier__n_estimators"": 500}",0.94,0.04899,0.939887,0.048925,5,200,"{""Adventure"": 34, ""Budget"": 34, ""Culture"": 33, ""Family"": 33, ""Luxury"": 33, ""Relaxation"": 33}"
2026-04-28T13:48:11.942931+00:00,RandomForestTuned,tuning_candidate,"{""classifier__max_depth"": 6, ""classifier__max_features"": ""sqrt"", ""classifier__min_samples_leaf"": 2, ""classifier__n_estimators"": 200}",0.915,0.056125,0.915109,0.055361,5,200,"{""Adventure"": 34, ""Budget"": 34, ""Culture"": 33, ""Family"": 33, ""Luxury"": 33, ""Relaxation"": 33}"
2026-04-28T13:48:11.942931+00:00,RandomForestTuned,tuning_candidate,"{""classifier__max_depth"": 6, ""classifier__max_features"": ""sqrt"", ""classifier__min_samples_leaf"": 2, ""classifier__n_estimators"": 300}",0.925,0.057009,0.924745,0.0561,5,200,"{""Adventure"": 34, ""Budget"": 34, ""Culture"": 33, ""Family"": 33, ""Luxury"": 33, ""Relaxation"": 33}"
2026-04-28T13:48:11.942931+00:00,RandomForestTuned,tuning_candidate,"{""classifier__max_depth"": 6, ""classifier__max_features"": ""sqrt"", ""classifier__min_samples_leaf"": 2, ""classifier__n_estimators"": 500}",0.92,0.064031,0.919384,0.064796,5,200,"{""Adventure"": 34, ""Budget"": 34, ""Culture"": 33, ""Family"": 33, ""Luxury"": 33, ""Relaxation"": 33}"
2026-04-28T13:48:11.942931+00:00,RandomForestTuned,tuning_candidate,"{""classifier__max_depth"": 6, ""classifier__max_features"": ""sqrt"", ""classifier__min_samples_leaf"": 4, ""classifier__n_estimators"": 200}",0.915,0.060415,0.913869,0.061407,5,200,"{""Adventure"": 34, ""Budget"": 34, ""Culture"": 33, ""Family"": 33, ""Luxury"": 33, ""Relaxation"": 33}"
2026-04-28T13:48:11.942931+00:00,RandomForestTuned,tuning_candidate,"{""classifier__max_depth"": 6, ""classifier__max_features"": ""sqrt"", ""classifier__min_samples_leaf"": 4, ""classifier__n_estimators"": 300}",0.91,0.06442,0.908427,0.065038,5,200,"{""Adventure"": 34, ""Budget"": 34, ""Culture"": 33, ""Family"": 33, ""Luxury"": 33, ""Relaxation"": 33}"
2026-04-28T13:48:11.942931+00:00,RandomForestTuned,tuning_candidate,"{""classifier__max_depth"": 6, ""classifier__max_features"": ""sqrt"", ""classifier__min_samples_leaf"": 4, ""classifier__n_estimators"": 500}",0.91,0.060415,0.908615,0.061372,5,200,"{""Adventure"": 34, ""Budget"": 34, ""Culture"": 33, ""Family"": 33, ""Luxury"": 33, ""Relaxation"": 33}"
